stamp,brk_pressure_cmd_counter,f_brake_pressure_cmd,r_brake_pressure_cmd
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=122911676)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=132843752)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=142896791)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=152894153)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=162865770)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=172844212)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=182770972)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=192741969)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=203485699)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=212828616)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=222719928)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=232920409)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=242845394)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=252921655)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=262748394)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=272840768)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=282780816)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=292859459)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=302939655)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=312774557)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=322911543)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=332795488)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=344770816)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=352921526)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=362812546)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=372877256)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=382908642)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=393085167)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=402836340)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=412778435)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=422821785)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=432862064)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=442845350)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=452781471)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=462917456)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=472961474)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=482789461)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=492882032)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=502911459)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=512785899)",6,0,0
