stamp,current_state_x,current_state_y,current_state_z,current_state_rpy_x,current_state_rpy_y,current_state_rpy_z,current_state_velocity_x,current_state_velocity_y,current_state_velocity_z,current_state_angular_velocity_z,first_path_state_x,first_path_state_y,first_path_state_rpy_z,first_path_state_velocity_x,second_path_state_x,second_path_state_y,second_path_state_rpy_z,second_path_state_velocity_x,third_path_state_x,third_path_state_y,third_path_state_rpy_z,third_path_state_velocity_x,fourth_path_state_x,fourth_path_state_y,fourth_path_state_rpy_z,fourth_path_state_velocity_x,fifth_path_state_x,fifth_path_state_y,fifth_path_state_rpy_z,fifth_path_state_velocity_x,planner_computation_time,cross_track_error
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=853649976)",122.98892893256351,142.02917970707261,0.0,0.0,0.0,-2.386402239399716,0.0047764467515808515,0.00042653279947650076,0.0,0.0009275737495678575,0.04905763268470764,-0.27013468742370605,0.17891272902488708,0.0,0.058907441794872284,-0.2683420181274414,0.17890557646751404,0.0,0.06875723600387573,-0.26654934883117676,0.1788989007472992,0.0,0.0785965844988823,-0.2647677958011627,0.17889174818992615,0.0,0.08845193684101105,-0.2629803419113159,0.1788850724697113,0.0,0.39917099475860596,-0.2745495140552521
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=888335216)",122.98873802171966,142.02868300461398,0.0,0.0,0.0,-2.3864433605159516,0.0047879570685261255,0.0007003383738973214,0.0,-0.0035132948540735546,0.048595234751701355,-0.27035748958587646,0.17895373702049255,0.0,0.05844496190547943,-0.2685644030570984,0.1789465844631195,0.0,0.06829468905925751,-0.2667713463306427,0.17893990874290466,0.0,0.0781339630484581,-0.26498937606811523,0.17893275618553162,0.0,0.08798924833536148,-0.2632015347480774,0.17892608046531677,0.0,0.42389601469039917,-0.2746909558773041
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=921808033)",122.98873802171966,142.02868300461398,0.0,0.0,0.0,-2.3864433605159516,0.0047879570685261255,0.0007003383738973214,0.0,-0.0035132948540735546,0.048595234751701355,-0.27035748958587646,0.17895373702049255,0.0,0.05844496190547943,-0.2685644030570984,0.1789465844631195,0.0,0.06829468905925751,-0.2667713463306427,0.17893990874290466,0.0,0.0781339630484581,-0.26498937606811523,0.17893275618553162,0.0,0.08798924833536148,-0.2632015347480774,0.17892608046531677,0.0,0.41401800513267517,-0.2746909558773041
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=955905495)",122.98885275063363,142.02748124732648,0.0,0.0,0.0,-2.386542449173222,0.005057088613137613,0.0019511488614313687,0.0,0.001684263075608352,0.04787927120923996,-0.27130892872810364,0.1790529191493988,0.0,0.05772881209850311,-0.26951488852500916,0.17904576659202576,0.0,0.06757836043834686,-0.2677208483219147,0.1790390908718109,0.0,0.07741745561361313,-0.2659378945827484,0.17903193831443787,0.0,0.08727256208658218,-0.2641490697860718,0.17902526259422302,0.0,0.4021010100841522,-0.2754969894886017
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=990582884)",122.98885275063363,142.02748124732648,0.0,0.0,0.0,-2.386542449173222,0.005057088613137613,0.0019511488614313687,0.0,0.001684263075608352,0.04787927120923996,-0.27130892872810364,0.1790529191493988,0.0,0.05772881209850311,-0.26951488852500916,0.17904576659202576,0.0,0.06757836043834686,-0.2677208483219147,0.1790390908718109,0.0,0.07741745561361313,-0.2659378945827484,0.17903193831443787,0.0,0.08727256208658218,-0.2641490697860718,0.17902526259422302,0.0,0.47806400060653687,-0.2754969894886017
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=25849175)",122.9887292379497,142.02702582387207,0.0,0.0,0.0,-2.386716390683748,0.004967413366066225,0.0020737374961160913,0.0,-0.002379773568293124,0.04752384126186371,-0.27155038714408875,0.17922696471214294,0.0,0.05737309157848358,-0.2697546184062958,0.1792198121547699,0.0,0.06722231954336166,-0.2679588496685028,0.17921313643455505,0.0,0.07706110924482346,-0.26617419719696045,0.179205983877182,0.0,0.08691590279340744,-0.2643836736679077,0.17919930815696716,0.0,0.38842999935150146,-0.27566811442375183
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=58877780)",122.9887292379497,142.02702582387207,0.0,0.0,0.0,-2.386716390683748,0.004967413366066225,0.0020737374961160913,0.0,-0.002379773568293124,0.04752384126186371,-0.27155038714408875,0.17922696471214294,0.0,0.05737309157848358,-0.2697546184062958,0.1792198121547699,0.0,0.06722231954336166,-0.2679588496685028,0.17921313643455505,0.0,0.07706110924482346,-0.26617419719696045,0.179205983877182,0.0,0.08691590279340744,-0.2643836736679077,0.17919930815696716,0.0,0.4634320139884949,-0.27566811442375183
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=92676146)",122.98841324855377,142.0263825883451,0.0,0.0,0.0,-2.386883886802863,0.005187441204710325,0.002201782033232357,0.0,-0.005557452427261494,0.04689688980579376,-0.2717897593975067,0.17939433455467224,0.0,0.05674583464860916,-0.2699923515319824,0.1793871819972992,0.0,0.06659477204084396,-0.26819491386413574,0.17938050627708435,0.0,0.07643324881792068,-0.26640862226486206,0.1793733537197113,0.0,0.0862877368927002,-0.2646164298057556,0.17936667799949646,0.0,0.4488219916820526,-0.27579590678215027
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=126643679)",122.98841324855377,142.0263825883451,0.0,0.0,0.0,-2.386883886802863,0.005187441204710325,0.002201782033232357,0.0,-0.005557452427261494,0.04689688980579376,-0.2717897593975067,0.17939433455467224,0.0,0.05674583464860916,-0.2699923515319824,0.1793871819972992,0.0,0.06659477204084396,-0.26819491386413574,0.17938050627708435,0.0,0.07643324881792068,-0.26640862226486206,0.1793733537197113,0.0,0.0862877368927002,-0.2646164298057556,0.17936667799949646,0.0,0.5515549778938293,-0.27579590678215027
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=162719308)",122.98777391506123,142.02596328673124,0.0,0.0,0.0,-2.386803018691004,0.005428548051242382,0.0017774884692121466,0.0,0.0009176156016984588,0.046131327748298645,-0.271659791469574,0.1793137490749359,0.0,0.05598040670156479,-0.26986318826675415,0.17930659651756287,0.0,0.06582948565483093,-0.2680665850639343,0.17929992079734802,0.0,0.07566812634468079,-0.2662810683250427,0.17929276823997498,0.0,0.08552276343107224,-0.26448965072631836,0.17928609251976013,0.0,0.3858419954776764,-0.2755305767059326
