stamp,fl_tire_pressure_gauge,fl_tire_pressure
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=745841433)",1628.0,2611.0
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=745841433)",1628.0,2611.0
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=745841433)",1628.0,2611.0
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=745841433)",1628.0,2611.0
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=746735295)",1629.0,2612.0
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=746735295)",1629.0,2612.0
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=746735295)",1629.0,2612.0
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=746735295)",1629.0,2612.0
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=746735295)",1629.0,2612.0
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=746826919)",1629.0,2612.0
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=746826919)",1629.0,2612.0
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=746826919)",1629.0,2612.0
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=746826919)",1629.0,2612.0
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=746826919)",1629.0,2612.0
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=746762877)",1633.0,2615.0
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=746762877)",1633.0,2615.0
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=746762877)",1633.0,2615.0
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=746762877)",1633.0,2615.0
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=746762877)",1633.0,2615.0
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=746737429)",1633.0,2616.0
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=746737429)",1633.0,2616.0
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=746737429)",1633.0,2616.0
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=746737429)",1633.0,2616.0
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=746737429)",1633.0,2616.0
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=746782157)",1636.0,2619.0
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=746782157)",1636.0,2619.0
