stamp,group_fields,insstatus_mode,insstatus_gps_fix,insstatus_time_error,insstatus_imu_error,insstatus_mag_pres_error,insstatus_gps_error,insstatus_gps_heading_ins,insstatus_gps_compass,poslla_x,poslla_y,poslla_z,velbody_x,velbody_y,velbody_z,velned_x,velned_y,velned_z
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=122666504)",779,1,True,False,False,False,False,False,True,36.58710872809464,-121.75586762156163,198.7104214760475,5.800423622131348,-0.6518959403038025,-0.14094392955303192,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=132669320)",779,1,True,False,False,False,False,False,True,36.5871083082329,-121.75586801429769,198.71069763833657,5.797421932220459,-0.656114935874939,-0.11768923699855804,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=142669088)",779,1,True,False,False,False,False,False,True,36.587107888135755,-121.75586840659322,198.71102771535516,5.799318790435791,-0.6532154083251953,-0.13730011880397797,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=152670088)",779,1,True,False,False,False,False,False,True,36.58710746801508,-121.75586879845085,198.71126539539546,5.795597076416016,-0.6601556539535522,-0.1306534856557846,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=162668552)",779,1,True,False,False,False,False,False,True,36.58710704797667,-121.75586919056407,198.71160533977672,5.793529987335205,-0.6541084051132202,-0.1291927844285965,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=172671368)",779,1,True,False,False,False,False,False,True,36.58710662781773,-121.75586958243164,198.712017968297,5.796835899353027,-0.6557963490486145,-0.14449727535247803,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=182671648)",779,1,True,False,False,False,False,False,True,36.587106207832996,-121.75586997436544,198.7121963039972,5.797146320343018,-0.6516275405883789,-0.1242629885673523,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=192672648)",779,1,True,False,False,False,False,False,True,36.587105787444706,-121.7558703669501,198.71254610316828,5.801640510559082,-0.6454889178276062,-0.14430490136146545,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=202671368)",779,1,True,False,False,False,False,False,True,36.58710536724446,-121.75587075953104,198.71281428681687,5.801888465881348,-0.6469107866287231,-0.1265033483505249,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=212674184)",779,1,True,False,False,False,False,False,True,36.58710494728045,-121.75587115251552,198.71314085414633,5.802036762237549,-0.6405912041664124,-0.12663564085960388,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=222675720)",779,1,True,False,False,False,False,False,True,36.58710452749418,-121.75587154536306,198.71334097720683,5.801705360412598,-0.6407456994056702,-0.13016287982463837,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=232675976)",779,1,True,False,False,False,False,False,True,36.58710410789348,-121.75587193852441,198.71366082085297,5.797276020050049,-0.6368716359138489,-0.10953065752983093,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=242675184)",779,1,True,False,False,False,False,False,True,36.587103688112336,-121.75587233122423,198.71370357694104,5.79940938949585,-0.6384885907173157,-0.12292057275772095,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=252673928)",779,1,True,False,False,False,False,False,True,36.58710326813562,-121.75587272358877,198.71376915369183,5.797440052032471,-0.6465327739715576,-0.09721297025680542,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=262672392)",779,1,True,False,False,False,False,False,True,36.58710284797186,-121.75587311542436,198.71386408340186,5.798355579376221,-0.6452333927154541,-0.1118076890707016,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=272675208)",779,1,True,False,False,False,False,False,True,36.58710242782758,-121.75587350683959,198.71388326911256,5.796046733856201,-0.6498720645904541,-0.11079447716474533,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=282676232)",779,1,True,False,False,False,False,False,True,36.58710200772209,-121.75587389885938,198.71406564768404,5.795674800872803,-0.6409589052200317,-0.11781968921422958,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=292676232)",779,1,True,False,False,False,False,False,True,36.58710158767024,-121.75587429078448,198.71424675546587,5.799686908721924,-0.6372477412223816,-0.1379013955593109,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=302673696)",779,1,True,False,False,False,False,False,True,36.58710116791181,-121.7558746833626,198.71459376160055,5.798104286193848,-0.6336171627044678,-0.12711597979068756,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=312676512)",779,1,True,False,False,False,False,False,True,36.58710074801121,-121.75587507650972,198.7152152173221,5.801632404327393,-0.629436194896698,-0.15089957416057587,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=322678792)",779,1,True,False,False,False,False,False,True,36.58710032815384,-121.75587551229145,198.71537643717602,5.799831390380859,-0.6363793611526489,-0.13085296750068665,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=332678792)",779,1,True,False,False,False,False,False,True,36.58709990803042,-121.75587590478118,198.71580091072246,5.79675817489624,-0.6333779692649841,-0.13477684557437897,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=342680072)",779,1,True,False,False,False,False,False,True,36.5870994884359,-121.75587629654383,198.7162212622352,5.792906761169434,-0.6396287679672241,-0.13229548931121826,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=352679072)",779,1,True,False,False,False,False,False,True,36.58709906867043,-121.75587668809462,198.71643020771444,5.789689540863037,-0.6329541802406311,-0.11921389400959015,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=362677280)",779,1,True,False,False,False,False,False,True,36.58709864902076,-121.75587707948283,198.7166403788142,5.793615818023682,-0.6295709609985352,-0.13070067763328552,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=372681096)",779,1,True,False,False,False,False,False,True,36.58709822981072,-121.75587747162515,198.7168541038409,5.7912678718566895,-0.6234603524208069,-0.11098597943782806,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=382682120)",779,1,True,False,False,False,False,False,True,36.58709781077387,-121.75587786420571,198.7170927990228,5.794071674346924,-0.6120880842208862,-0.13167423009872437,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=392682120)",779,1,True,False,False,False,False,False,True,36.587097392273385,-121.7558782573124,198.71729928487912,5.79516077041626,-0.6124033331871033,-0.12447696179151535,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=402685728)",779,1,True,False,False,False,False,False,True,36.58709697376847,-121.75587865118796,198.7176602431573,5.79723596572876,-0.604111909866333,-0.13657617568969727,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=412688544)",779,1,True,False,False,False,False,False,True,36.587096555074794,-121.75587904459319,198.71798852505162,5.800950527191162,-0.6091952919960022,-0.14728155732154846,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=422690568)",779,1,True,False,False,False,False,False,True,36.58709613611524,-121.75587943867679,198.7184865726158,5.798258304595947,-0.6072409152984619,-0.13492810726165771,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=432690568)",779,1,True,False,False,False,False,False,True,36.58709571681626,-121.75587983184953,198.71882777893916,5.800858497619629,-0.6089661717414856,-0.14659738540649414,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=442687776)",779,1,True,False,False,False,False,False,True,36.58709529789153,-121.75588022481752,198.71918672835454,5.794102668762207,-0.6146915555000305,-0.12026011943817139,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=452691592)",779,1,True,False,False,False,False,False,True,36.58709487878985,-121.75588061732671,198.71948581235483,5.792696952819824,-0.6111772656440735,-0.12701892852783203,0.0,0.0,0.0
