stamp,fluid_pressure,variance
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=50984072)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=70987632)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=80985608)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=90989192)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=100989728)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=110993824)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=120993800)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=140999176)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=150999944)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=160997664)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=171002248)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=181006600)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=191010440)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=201008160)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=211012744)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=221014280)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=231017864)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=241019912)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=251020680)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=261018400)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=271022984)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=281024520)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=291025288)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=301023264)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=311026848)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=321029384)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=331030152)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=341031688)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=351032456)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=361031432)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=371035528)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=381037320)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=391038088)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=401035808)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=411040392)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=421041928)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=431044256)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=441044488)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=451048072)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=461048864)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=471050376)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=481049096)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=491051680)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=501053472)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=511054240)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=521053960)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=531057544)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=541059080)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=551059848)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=561059080)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=571062664)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=581064200)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=591064968)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=601063688)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=611067272)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=621069064)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=631069576)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=641069576)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=651073160)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=661075208)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=671074976)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=681074952)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=691077536)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=701080072)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=711079840)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=721079816)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=731083400)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=741085448)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=751086216)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=761086192)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=771088776)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=781090312)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=791091080)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=801090312)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=811093896)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=821094432)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=831096200)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=841097736)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=851097504)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=861097736)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=871101320)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=881106440)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=891106208)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=901104928)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=911108512)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=921112816)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=931113864)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=941112840)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=951116424)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=961118216)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=971117984)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=981121032)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=991124616)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=1126408)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=11126176)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=21125896)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=31129480)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=41131528)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=51131040)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=61131272)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=71134856)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=81136392)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=91136160)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=101134880)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=111138464)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=121141512)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=131142280)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=141141256)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=151144840)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=161146376)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=171146888)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=181145864)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=191150192)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=201149728)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=211151240)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=221148960)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=231153288)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=241155080)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=251155592)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=261154568)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=271157896)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=281158688)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=291158944)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=301157920)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=311161248)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=321163784)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=331164296)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=341165344)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=351166600)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=361165832)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=371168160)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=381170440)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=391169952)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=401173256)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=411176584)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=421177632)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=431179400)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=441181960)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=451182472)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=461180936)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=471184264)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=481183216)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=491182728)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=501181192)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=511182520)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=521186056)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=531186824)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=541184288)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=551188616)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=561190152)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=571190664)",0.0,0.0
