stamp,fr_tire_temp_04,fr_tire_temp_03,fr_tire_temp_02,fr_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=746807899)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=746807899)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=746826631)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=746826631)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=746826631)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=746826631)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=746826631)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=746856689)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=746856689)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=746856689)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=746856689)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=746856689)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=746982690)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=746982690)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=746982690)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=746982690)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=746982690)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=746901220)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=746901220)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=746901220)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=746901220)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=746901220)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=746926585)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=746926585)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=746926585)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=746926585)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=746926585)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=746929106)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=746929106)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=746929106)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=746929106)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=746929106)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=746882967)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=746882967)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=746882967)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=746882967)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=746882967)",-100.0,-100.0,-100.0,-100.0
