time,pred0_x,pred0_y,pred1_x,pred1_y,pred2_x,pred2_y
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=812614461)",0.12967979907989502,0.00036381956306286156,0.5927679538726807,0.0014438205398619175,1.2286094427108765,0.0017301903571933508
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=822094254)",0.13006336987018585,0.00036489340709522367,0.5945154428482056,0.0013706452446058393,1.230357050895691,0.001456672791391611
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=831659852)",0.13040900230407715,0.00036586105125024915,0.5960903167724609,0.0012162041384726763,1.2319320440292358,0.001051781582646072
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=841271774)",0.13075606524944305,0.0003668326826300472,0.5976717472076416,0.0010639973916113377,1.2335134744644165,0.0006915449630469084
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=852045584)",0.13136327266693115,0.0003685325791593641,0.6004380583763123,0.0009671724983491004,1.236279845237732,0.0004210423503536731
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=862387757)",0.1317400187253952,0.0003695873310789466,0.6021543741226196,0.0009476870181970298,1.2379963397979736,0.00026513641932979226
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=872084953)",0.13204196095466614,0.0003704326518345624,0.6035299301147461,0.0009643557714298368,1.2393720149993896,0.0001782406761776656
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=881701002)",0.13234853744506836,0.00037129095289856195,0.6049266457557678,0.0009172449354082346,1.2407686710357666,4.12868830608204e-05
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=891726195)",0.1292300522327423,0.00033116116537712514,0.6030505895614624,0.0008427922730334103,1.2388995885849,-0.00013858660531695932
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=902642774)",0.12978595495224,0.0003325639117974788,0.6055831909179688,0.0007352424436248839,1.2414320707321167,-0.0003501847095321864
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=912437080)",0.13015426695346832,0.00033349328441545367,0.6072611212730408,0.0006982455379329622,1.2431100606918335,-0.00047451647697016597
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=921734439)",0.13005782663822174,0.00033324991818517447,0.6068216562271118,0.0007512522279284894,1.2426706552505493,-0.0004699308192357421
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=931343583)",0.1303914189338684,0.0003340917464811355,0.6083412766456604,0.0008269609534181654,1.2441904544830322,-0.00042040314292535186
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=941898291)",0.13074851036071777,0.0003349927719682455,0.609967827796936,0.0009250206057913601,1.2458170652389526,-0.0003323514829389751
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=951859635)",0.13132265210151672,0.00033644153154455125,0.6125832200050354,0.0010493234731256962,1.2484325170516968,-0.00021171008120290935
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=961671222)",0.13166303932666779,0.00033730047289282084,0.6141338348388672,0.0010893421713262796,1.2499831914901733,-0.00018318065849598497
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=971919734)",0.1319723278284073,0.00033808095031417906,0.6155429482460022,0.0010475977323949337,1.2513922452926636,-0.0002580551372375339
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=982103265)",0.138558492064476,0.00021893728990107775,0.6232666373252869,0.000885947491042316,1.2591235637664795,-0.0005448651500046253
"builtin_interfaces.msg.Time(sec=1751477691, nanosec=992122119)",0.13889004290103912,0.00021946545166429132,0.6247770190238953,0.0008115542004816234,1.2606338262557983,-0.0007010276895016432
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=1926796)",0.13942404091358185,0.00022031617118045688,0.6272097229957581,0.0008361873333342373,1.2630665302276611,-0.0007517636986449361
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=11583858)",0.13968722522258759,0.00022073541185818613,0.6284086108207703,0.0008755396702326834,1.2642654180526733,-0.0007572972099296749
"builtin_interfaces.msg.Time(sec=1751477692, nanosec=22047324)",0.13995416462421417,0.00022116067702881992,0.6296247243881226,0.0008749541011638939,1.2654814720153809,-0.0007926347898319364
