stamp,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=900818184)",0.00044369848910719156,-0.004690756555646658,0.01075848750770092,1.271672248840332,-0.018019724637269974,9.051811218261719
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=940823560)",0.0003741822438314557,-0.006890065036714077,0.007891586981713772,1.19190514087677,0.0281241312623024,9.254457473754883
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=970826120)",0.0007338057039305568,-7.098296191543341e-05,-0.0005994564271531999,0.682726263999939,-0.11836913228034973,9.68930721282959
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=830240)",0.00143904285505414,0.0002157175913453102,0.0028292497154325247,0.06845393776893616,-0.30855217576026917,9.889819145202637
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=20829984)",-0.00495107239112258,0.0040400102734565735,0.0033726347610354424,-0.27799615263938904,-0.3709768056869507,9.768173217773438
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=40837872)",-0.002298234263435006,-0.004344253800809383,0.0062852888368070126,0.672907292842865,-0.17359736561775208,10.024897575378418
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=60836360)",0.004588344134390354,0.014041963033378124,0.0004853160644415766,-0.43025708198547363,-0.20043307542800903,9.280879974365234
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=90842504)",0.00196557748131454,0.0025579258799552917,-0.000906196772120893,-0.323750764131546,-0.29804831743240356,10.307085037231445
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=100841736)",0.009595291689038277,0.0003273854963481426,0.0007569030858576298,0.246491938829422,-0.04240477830171585,10.04409122467041
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=120847368)",0.007349506486207247,0.0008901800028979778,-0.000666686799377203,-0.015228025615215302,-0.26779434084892273,9.902658462524414
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=150850696)",-0.006717127747833729,0.014256992377340794,0.003376156324520707,-0.10812250524759293,-0.4913174510002136,9.841658592224121
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=180852488)",0.008586607873439789,-0.004325458779931068,0.0018695354228839278,-0.04925337806344032,-0.10124385356903076,9.785225868225098
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=190856072)",0.010846724733710289,-0.003934281878173351,0.0010978169739246368,0.3534073829650879,-0.10314986854791641,9.5891752243042
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=200857120)",0.002294676611199975,0.004326620604842901,0.00042495050001889467,0.005725637078285217,-0.21376189589500427,9.327585220336914
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=210859144)",0.0030829370953142643,0.007046170998364687,-0.002340027829632163,0.10518141835927963,-0.36632874608039856,9.89218807220459
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=220857120)",-0.00463428720831871,-0.0005731100682169199,0.00164022296667099,0.3456740975379944,-0.4361758232116699,9.98001480102539
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=230861704)",-0.0030803100671619177,0.00733192590996623,0.004936855752021074,-0.18527275323867798,-0.2752160131931305,9.938386917114258
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=240863752)",0.008862997405230999,0.00473617110401392,0.007491309195756912,0.32490068674087524,-0.04641337692737579,9.498384475708008
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=250864520)",-0.001958131091669202,-0.0035977624356746674,0.011005088686943054,0.961816668510437,-0.09001398086547852,9.457822799682617
