stamp,source_topic,message_data_length
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=636114564)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=643924354)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=659792187)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=667714760)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=723783389)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=732084757)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=738846943)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=747848400)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=755747434)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=787747233)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=803871383)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=835149096)",/novatel_top/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=832152996)",/novatel_side/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=854307649)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=859737403)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=886444146)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=883874071)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=894228239)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=923893236)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=934021220)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=939851744)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=965114525)",/novatel_top/oem7raw,56
