stamp,rr_tire_temp_04,rr_tire_temp_03,rr_tire_temp_02,rr_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=747798212)",57.60000000000002,54.5,44.5,38.30000000000001
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=750375285)",57.0,54.10000000000002,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=750375285)",57.0,54.10000000000002,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=750375285)",57.0,54.10000000000002,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=750375285)",57.0,54.10000000000002,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=747836537)",57.0,54.10000000000002,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=747836537)",57.0,54.10000000000002,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=747836537)",57.0,54.10000000000002,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=747836537)",57.0,54.10000000000002,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=747836537)",57.0,54.10000000000002,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=748173626)",57.0,54.10000000000002,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=748173626)",57.0,54.10000000000002,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=748173626)",57.0,54.10000000000002,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=748173626)",57.0,54.10000000000002,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=748173626)",57.0,54.10000000000002,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=747845635)",57.10000000000002,54.20000000000002,43.70000000000002,37.30000000000001
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=747845635)",57.10000000000002,54.20000000000002,43.70000000000002,37.30000000000001
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=747845635)",57.10000000000002,54.20000000000002,43.70000000000002,37.30000000000001
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=747845635)",57.10000000000002,54.20000000000002,43.70000000000002,37.30000000000001
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=747845635)",57.10000000000002,54.20000000000002,43.70000000000002,37.30000000000001
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=748257509)",57.400000000000006,54.5,44.099999999999994,38.80000000000001
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=748257509)",57.400000000000006,54.5,44.099999999999994,38.80000000000001
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=748257509)",57.400000000000006,54.5,44.099999999999994,38.80000000000001
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=748257509)",57.400000000000006,54.5,44.099999999999994,38.80000000000001
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=748257509)",57.400000000000006,54.5,44.099999999999994,38.80000000000001
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=748257509)",57.400000000000006,54.5,44.099999999999994,38.80000000000001
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=750462356)",57.400000000000006,54.5,44.099999999999994,38.80000000000001
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=750462356)",57.400000000000006,54.5,44.099999999999994,38.80000000000001
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=750462356)",57.400000000000006,54.5,44.099999999999994,38.80000000000001
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=750462356)",57.400000000000006,54.5,44.099999999999994,38.80000000000001
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=747966731)",56.80000000000001,54.80000000000001,44.70000000000002,38.20000000000002
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=747966731)",56.80000000000001,54.80000000000001,44.70000000000002,38.20000000000002
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=747966731)",56.80000000000001,54.80000000000001,44.70000000000002,38.20000000000002
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=747966731)",56.80000000000001,54.80000000000001,44.70000000000002,38.20000000000002
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=747966731)",56.80000000000001,54.80000000000001,44.70000000000002,38.20000000000002
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=747973934)",56.400000000000006,54.5,44.5,38.30000000000001
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=747973934)",56.400000000000006,54.5,44.5,38.30000000000001
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=747973934)",56.400000000000006,54.5,44.5,38.30000000000001
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=747973934)",56.400000000000006,54.5,44.5,38.30000000000001
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=747973934)",56.400000000000006,54.5,44.5,38.30000000000001
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=748053718)",58.20000000000002,55.0,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=748053718)",58.20000000000002,55.0,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=748053718)",58.20000000000002,55.0,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=748053718)",58.20000000000002,55.0,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=748053718)",58.20000000000002,55.0,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=748057300)",58.20000000000002,55.0,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=748057300)",58.20000000000002,55.0,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=748057300)",58.20000000000002,55.0,44.30000000000001,38.099999999999994
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=748057300)",58.20000000000002,55.0,44.30000000000001,38.099999999999994
