stamp,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=884151935)",-0.0010760960448172657,-0.0004627892205318656,0.007042275700064797,0.3852306384216309,-0.4069146535099793,9.892030074315644
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=916153907)",-0.0005126201603205563,0.0007896379158528545,0.0014972675143622451,0.4794737180804444,-0.36129715116348265,9.967576653645173
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=924154043)",-0.00044082559838976417,0.0011580937095163695,-0.000671348822347023,0.3444792910943604,-0.35861648327468876,10.04795129026001
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=988157987)",0.0001178246382117217,0.0037229031952745457,0.006127769617549179,0.3070241010476685,-0.34145747939651494,9.611202968703157
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=4154920)",0.0002497704217874796,-0.0004596722567920369,0.004924382994741614,0.296892468099823,-0.39828128203353885,9.95152371107895
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=28156042)",0.00044389142943666334,0.006214671759711772,0.0023492915766468595,0.48196335860427864,-0.2889488062666321,9.54832590600876
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=44157028)",0.0010574411340134786,0.0013997020751949742,0.0001889246477302212,0.38456555912796025,-0.34983500049804694,9.904547499290315
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=76155900)",0.0003318383939393614,0.006953811880238981,0.004008805256203348,0.28500468823425296,-0.3654009325190735,9.751303748990022
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=92154979)",0.0014622629249942435,-0.0014044084134733623,0.004046581663633904,0.38107101231231694,-0.4370271562677002,9.942537494132843
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=100153923)",-0.0009713272875335485,0.0005027515505851586,0.005310441217946116,0.23076464817382814,-0.40283298859222416,10.1406619012912
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=140153884)",0.00012012134833580604,-0.002425195928771862,0.0032512616272792564,0.3923896006607056,-0.3423585671188355,9.970305415059816
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=164155960)",0.0015792587874747324,0.008503245394033698,0.003393570303288731,0.4591016955743409,-0.31782727763366697,9.673189747510225
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=172157049)",0.002237349328650905,0.0054241581964924995,0.002041408849344979,0.6405201715911866,-0.38317500680374145,9.722713689140473
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=180155992)",0.002496713521949286,0.0011833937398721224,0.0025119063233359704,0.37642691949707036,-0.39274175779739384,9.876219245392305
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=188154935)",0.0017156168963445336,-0.0027639329751989647,0.0044689291851162626,0.3143583487757874,-0.37171926062774663,9.976552755089266
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=196155071)",0.00018871372537188693,-0.0011759624551663651,0.00399420687237197,0.30696185180450447,-0.41569754288009647,9.888516523524324
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=204157114)",0.0005006359354151998,0.005712469885575606,0.004343296158588429,0.08796207116851806,-0.35175601812759405,9.703791355739593
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=212155103)",0.001151329280347568,0.006899351301211296,0.007333704352887732,0.4345666950765991,-0.29682614871383667,9.627269977204133
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=220155954)",0.0018425815034174074,0.0037893820876695396,0.00783275943587986,0.5574176414598084,-0.38206496513153076,9.683325540383455
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=228152036)",0.001018192531132327,-0.0010468460139327073,0.006277893073461382,0.47021938047592166,-0.3382236312141419,9.740624083282166
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=236150979)",-0.0006737541894435826,-0.006054014969056089,0.00379879902528406,0.7010377784770203,-0.30184095372863773,9.928206940240937
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=244151115)",-0.0015437599154084123,-0.0046977692912645915,0.0009838547973012811,0.46834295485229493,-0.415506126457367,9.987935986882478
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=252152919)",-0.0013104009575224372,0.003613705068465809,0.0009503650139613167,-0.08853219043884278,-0.36873677369216923,9.736482413685303
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=260154008)",-0.0001372444088805795,0.005966267006931285,0.0037928378055000268,0.3646811457174683,-0.2206693771636963,9.590516527664033
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=268156051)",0.0006606386537071604,0.0007359208914015202,0.003255786870603519,0.8730799323147584,-0.32883599643218997,9.61693902696808
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=276149034)",-0.0002158800990195672,-0.0030563416713030494,-0.0008912939704544872,0.5927518980383301,-0.42923307218322754,9.767421065653382
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=284148931)",-0.0008738428084634159,-0.006004629309801659,-0.0035974704384606855,0.5627821196270753,-0.33539589948837284,9.872895255517426
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=292150020)",-0.001644879076734285,-0.0028125559051171956,-0.004139854087123968,0.2628930088743591,-0.4152033198023987,9.929022794384156
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=300149917)",-0.0016346461465617647,0.005737209586838007,-0.0021761221899255475,-0.12660002676284793,-0.4700695333795166,9.804445059981079
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=308157920)",0.0005111373122256001,0.007692553591867112,0.0011484275000238177,0.26775805657531737,-0.3351913448840332,9.6538214341951
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=316154956)",0.00129685718548273,0.00345653382304482,0.0034431924512479594,0.6657176177607728,-0.35450354409774787,9.650478141069337
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=324151039)",-0.0006602828553855257,-0.002534489929379842,0.004888144829156688,0.34694624655746464,-0.492211798665619,9.798067206033632
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=332151889)",-0.00010614720946394226,-0.00978037388216112,0.0064682536976513735,0.3238962496394348,-0.41579268246856693,10.009440526628877
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=340154886)",0.0017617513685401944,-0.009621291552341892,0.005711270397820635,0.42197289506896973,-0.35717726880172734,10.00538073872879
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=348151922)",-3.3809362670773954e-05,-0.0020720373324097626,0.005064254345721448,0.26924710037033084,-0.3604822846284485,9.901039694582979
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=356153964)",-0.00011573885044597164,0.0024599874652526574,0.004135177576249788,0.5231644866409303,-0.3269945560803223,9.725478932202913
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=364154100)",0.0012629988206478986,0.0015838138582032041,-0.00011774154758571123,0.6620178579353333,-0.3224422509712219,9.6505148621373
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=372148990)",-0.00011768615383503759,-0.001165539907924231,-0.0031124384965044785,0.38864674520538334,-0.31477712457366946,9.860158252322998
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=380148887)",-0.0007288731018927346,-0.006040967610243572,-0.00391101611150451,0.4291415238972473,-0.3835762450744629,9.939584755152895
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=388149976)",-0.00015701358628445573,-0.0028572309650354926,-0.005623083546748187,0.2567402398104858,-0.4033110807362366,9.918736555864106
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=396152019)",-0.0020678401905317974,0.003592710836960496,-0.004539790575401091,0.05875376859527588,-0.3391884047006226,9.808266475178375
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=404153108)",-0.001047470258892222,0.0038600943409333234,-0.002359986831584618,0.40583810073349,-0.33990154759262087,9.645823214491578
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=412153959)",0.00013070581577221695,0.002646715537715781,-0.002251898710318226,0.507812416683197,-0.4017089408403015,9.578223678805085
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=420150995)",-0.0008409282679189085,-0.003413433223962978,0.000655077973351075,0.3891195102507019,-0.3477012879785157,9.73304556712967
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=428150892)",-3.071796527740997e-05,-0.011548900332514477,0.0032283307450292386,0.43080633202163704,-0.35323566468109135,9.873989285966035
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=436155080)",6.442506256232488e-05,-0.009485498033623186,0.002197318821673706,0.17024198353698733,-0.4373653971072388,9.980844421420136
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=444150924)",-0.00011514656341953802,-0.0026120837909003906,0.0036350678814659884,0.12328621224502566,-0.336539908896637,9.915089618112793
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=452157974)",0.001016583981833919,0.001588950563313749,0.004672754751777695,0.4467080208979798,-0.33776556058151247,9.605890684132081
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=460156917)",0.0004283662655459374,0.0038108492965844504,0.002607145224974948,0.5075331629870606,-0.38077009109115606,9.558783838715364
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=468156099)",1.592783384754591e-05,0.0003134881487642794,0.0018020268863376807,0.4937564477941895,-0.28632515030487066,9.771175024218904
