stamp,sd_system_warning,sd_system_failure,sd_brake_warning1,sd_brake_warning2,sd_brake_warning3,sd_steer_warning1,sd_steer_warning2,sd_steer_warning3,motec_warning,est1_oos_front_brk,est2_oos_rear_brk,est3_low_eng_speed,est4_sd_comms_loss,est5_motec_comms_loss,est6_sd_ebrake,adlink_hb_lost,rc_lost
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=501941100)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=511951792)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=521931327)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=531881380)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=541934837)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=551945320)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=561971666)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=571924305)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=581881789)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=591923984)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=601946329)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=612113645)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=621856168)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=631930001)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=671942565)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
