stamp,marelli_track_flag,marelli_vehicle_flag,marelli_sector_flag,marelli_rc_base_sync_check,marelli_rc_lte_rssi
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=812782516)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=852775967)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=882840988)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=902766549)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=942754980)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=952782715)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=962844914)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=982769755)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=12749762)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=62859925)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=85393449)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=94606410)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=102764757)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=112747642)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=122770301)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=133016330)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=143312539)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=152752319)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=162739329)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=172793851)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=182763488)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=192782980)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=202753260)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=212752945)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=222762819)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=232778673)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=243771967)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=252790576)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=262759782)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=273655405)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=282795888)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=292764751)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=302814556)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=312766259)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=322846584)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=332868504)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=342801107)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=352764188)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=362810825)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=372813421)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=382804535)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=392798489)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=402797565)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=412778620)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=422935982)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=432801619)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=442780585)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=452810681)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=462763480)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=472853467)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=483671784)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=492786320)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=502797814)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=513445360)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=526322267)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=532766612)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=543942655)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=553134101)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=562803780)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=572781643)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=586255522)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=592788277)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=602792575)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=612761330)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=622951922)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=632885328)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=642805126)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=652776682)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=665066254)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=672781319)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=683186519)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=692782779)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=702867746)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=714212822)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=722809211)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=732805736)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=742776985)",1,0,0,True,-32.0
