stamp,fl_tire_temp_04,fl_tire_temp_03,fl_tire_temp_02,fl_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=746447078)",23.200000000000003,22.5,22.60000000000001,22.5
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=746447078)",23.200000000000003,22.5,22.60000000000001,22.5
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=745873758)",23.200000000000003,22.5,22.60000000000001,22.5
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=745873758)",23.200000000000003,22.5,22.60000000000001,22.5
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=745873758)",23.200000000000003,22.5,22.60000000000001,22.5
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=745873758)",23.200000000000003,22.5,22.60000000000001,22.5
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=745873758)",23.200000000000003,22.5,22.60000000000001,22.5
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=746744317)",23.200000000000003,22.900000000000006,21.700000000000003,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=746744317)",23.200000000000003,22.900000000000006,21.700000000000003,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=746744317)",23.200000000000003,22.900000000000006,21.700000000000003,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=746744317)",23.200000000000003,22.900000000000006,21.700000000000003,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=746744317)",23.200000000000003,22.900000000000006,21.700000000000003,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=746794924)",23.200000000000003,22.900000000000006,21.700000000000003,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=746794924)",23.200000000000003,22.900000000000006,21.700000000000003,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=746794924)",23.200000000000003,22.900000000000006,21.700000000000003,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=746794924)",23.200000000000003,22.900000000000006,21.700000000000003,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=746794924)",23.200000000000003,22.900000000000006,21.700000000000003,24.700000000000003
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=746789364)",22.10000000000001,22.30000000000001,22.400000000000006,23.30000000000001
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=746789364)",22.10000000000001,22.30000000000001,22.400000000000006,23.30000000000001
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=746789364)",22.10000000000001,22.30000000000001,22.400000000000006,23.30000000000001
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=746789364)",22.10000000000001,22.30000000000001,22.400000000000006,23.30000000000001
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=746789364)",22.10000000000001,22.30000000000001,22.400000000000006,23.30000000000001
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=746847672)",22.10000000000001,22.30000000000001,22.400000000000006,23.30000000000001
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=746847672)",22.10000000000001,22.30000000000001,22.400000000000006,23.30000000000001
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=746847672)",22.10000000000001,22.30000000000001,22.400000000000006,23.30000000000001
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=746847672)",22.10000000000001,22.30000000000001,22.400000000000006,23.30000000000001
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=746847672)",22.10000000000001,22.30000000000001,22.400000000000006,23.30000000000001
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=746785901)",23.400000000000006,24.5,24.400000000000006,25.200000000000003
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=746785901)",23.400000000000006,24.5,24.400000000000006,25.200000000000003
