stamp,mode,passing_status,passing_time,passing_velocity,passing_started,opponent_detected,opponent_x,opponent_y,opponent_v,dist_to_opp,match_max_vel,acc_activated,acc_vel,stop_activated,planner_status,switching_raceline,raceline_index
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=673098872)",0,0,3.9159154891967773,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=707966942)",0,0,3.9507827758789062,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=740340115)",0,0,3.9831559658050537,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=775619393)",0,0,4.018435001373291,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=812211646)",0,0,4.055027008056641,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=848364955)",0,0,4.09118127822876,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=893597199)",0,0,4.136414051055908,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=932547516)",0,0,4.175364017486572,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=966435894)",0,0,4.209251880645752,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=1061712)",0,0,4.243877410888672,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=35667857)",0,0,4.2784833908081055,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=69185822)",0,0,4.3120012283325195,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=102872019)",0,0,4.345687389373779,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=135789213)",0,0,4.378605365753174,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=168607396)",0,0,4.411423206329346,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=202059510)",0,0,4.444875240325928,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=235751428)",0,0,4.478567123413086,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=269279587)",0,0,4.512095928192139,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=303189277)",0,0,4.546004772186279,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=337274136)",0,0,4.580090045928955,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=370295429)",0,0,4.6131110191345215,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=403824003)",0,0,4.646639823913574,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=436862756)",0,0,4.679678916931152,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=472548460)",0,0,4.715364456176758,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=507689834)",0,0,4.750505447387695,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=543027408)",0,0,4.785843372344971,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=578603279)",0,0,4.821418762207031,0.0,False,False,0.0,0.0,0.0,0.0,17.88159942626953,False,0.0,False,3,False,0
