stamp,wheel_potentiometer_rr,wheel_potentiometer_rl,wheel_potentiometer_fr,wheel_potentiometer_fl
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=542940995)",43.71,44.24,35.730000000000004,35.300000000000004
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=742960874)",43.550000000000004,44.36,35.730000000000004,35.09
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=942928343)",43.49,44.37,35.730000000000004,35.12
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=142936934)",43.46,44.46,35.75,35.09
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=342853230)",43.44,44.480000000000004,35.75,35.04
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=542867517)",43.44,44.46,35.75,35.04
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=742936779)",43.42,44.53,35.75,35.03
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=942869687)",43.5,44.49,35.75,35.07
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=142868646)",43.660000000000004,44.37,35.730000000000004,35.34
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=342912551)",43.81,44.19,35.71,35.480000000000004
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=542971731)",43.81,44.15,35.71,35.46
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=743112406)",43.77,44.18,35.71,35.410000000000004
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=942971598)",43.77,44.14,35.730000000000004,35.45
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=142911347)",43.77,44.14,35.71,35.38
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=342960834)",43.71,44.18,35.730000000000004,35.300000000000004
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=543229295)",43.660000000000004,44.25,35.730000000000004,35.27
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=742925944)",43.64,44.25,35.75,35.230000000000004
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=943062609)",43.68,44.27,35.75,35.21
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=144355136)",43.660000000000004,44.27,35.730000000000004,35.2
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=343018876)",43.660000000000004,44.33,35.730000000000004,35.18
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=542957007)",43.62,44.44,35.75,35.18
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=742972527)",43.59,44.42,35.75,35.14
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=942937885)",43.660000000000004,44.32,35.730000000000004,35.25
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=142962378)",43.71,44.2,35.730000000000004,35.34
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=342976843)",43.69,44.33,35.730000000000004,35.230000000000004
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=544083762)",43.71,44.25,35.730000000000004,35.34
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=745750906)",43.71,44.19,35.71,35.34
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=942927025)",43.71,44.2,35.730000000000004,35.34
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=142966601)",43.71,44.2,35.730000000000004,35.300000000000004
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=342923003)",43.75,44.24,35.730000000000004,35.300000000000004
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=542935308)",43.81,44.18,35.730000000000004,35.38
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=743023373)",43.82,44.19,35.730000000000004,35.410000000000004
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=942907429)",43.74,44.160000000000004,35.730000000000004,35.34
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=142900483)",43.71,44.18,35.730000000000004,35.34
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=343004956)",43.75,44.2,35.730000000000004,35.36
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=543008528)",43.81,44.2,35.730000000000004,35.36
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=743234755)",43.800000000000004,44.18,35.730000000000004,35.410000000000004
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=943025564)",43.660000000000004,44.25,35.730000000000004,35.25
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=143019998)",43.62,44.27,35.75,35.230000000000004
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=343016839)",43.52,44.37,35.75,35.18
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=544103458)",43.550000000000004,44.410000000000004,35.75,35.13
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=743754720)",43.550000000000004,44.4,35.730000000000004,35.14
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=943764934)",43.52,44.36,35.730000000000004,35.14
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=143066612)",43.58,44.36,35.75,35.18
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=343869237)",43.62,44.37,35.75,35.230000000000004
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=543754100)",43.64,44.35,35.75,35.300000000000004
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=743763286)",43.7,44.27,35.730000000000004,35.300000000000004
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=943809109)",43.71,44.27,35.730000000000004,35.34
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=143787257)",43.81,44.19,35.730000000000004,35.46
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=343831890)",43.83,44.11,35.7,35.46
