stamp,throttle_position,current_gear,engine_speed_rpm,vehicle_speed_kmph,engine_run_switch,engine_state,gear_shift_status
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=612056858)",6.0,1,640.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=621800269)",6.0,1,640.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=631837661)",6.0,1,640.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=671849298)",6.0,1,652.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=681824047)",6.0,1,652.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=691844628)",6.0,1,664.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=711862289)",6.0,1,664.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=721923313)",6.0,1,664.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=741935952)",6.0,1,672.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=761838781)",6.0,1,672.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=791901590)",6.0,1,676.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=811991385)",6.0,1,676.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=851918013)",6.0,1,687.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=881926846)",6.0,1,695.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=892007044)",5.9,1,695.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=941860299)",5.9,1,703.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=951830391)",5.9,1,711.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=961875009)",5.9,1,711.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=981962372)",5.800000000000001,1,711.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=12424667)",5.800000000000001,1,715.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=61901271)",5.9,1,727.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=81816327)",5.800000000000001,1,731.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=94474168)",5.9,1,731.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=101856361)",5.9,1,731.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=111842490)",5.9,1,731.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=122018741)",5.9,1,731.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=132204187)",5.9,1,731.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=142402927)",5.9,1,731.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=152215563)",5.9,1,735.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=162267544)",5.9,1,735.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=171882096)",5.9,1,735.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=181814241)",5.9,1,735.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=191908757)",5.9,1,735.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=201848175)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=211925180)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=221855082)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=231872469)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=241838377)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=251899994)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=261871747)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=272432904)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=281800458)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=291832728)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=302589931)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=311848203)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=321847517)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=331869264)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=341844075)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=351801029)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=362617558)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=371878710)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=381883857)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=391842471)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=401865256)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=412437997)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=422757409)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=431896481)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=441974795)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=451886186)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=461876042)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=471924831)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=481882637)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=491973374)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=502164431)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=511908352)",5.9,1,759.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=521883461)",5.9,1,759.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=531861995)",5.9,1,759.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=541858218)",5.9,1,759.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=551890131)",5.9,1,759.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=561912138)",5.9,1,759.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=571850688)",5.9,1,759.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=582201099)",5.9,1,759.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=591826264)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=601994769)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=611825545)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=621809922)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=631840673)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=641896091)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=651850212)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=661839206)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=671823527)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=681831046)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=691864775)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=702674858)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=711926241)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=721915216)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=731820533)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=741851519)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=751799981)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=762279911)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=771807145)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=781858084)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=791900153)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=802302869)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=811875216)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=821887651)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=831883542)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=841855551)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=852352878)",5.800000000000001,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=861857301)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=874622880)",5.9,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=881877605)",5.9,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=891846140)",5.9,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=902054849)",5.9,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=911925607)",5.9,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=921970448)",5.9,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=932171928)",5.9,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=942115071)",5.9,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=951842551)",5.9,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=961834674)",5.9,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=971830289)",5.9,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=981840422)",5.9,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=991814517)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=1871941)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=11903065)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=21861866)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=31893068)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=41887886)",5.9,1,747.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=51838386)",5.9,1,747.0,0.0,True,True,2
