stamp,engine_oil_temperature,torque_wheels,driver_traction_aim_switch_fbk,driver_traction_range_switch_fbk
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=851938286)",29.0,61.2,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=881946292)",29.0,52.5,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=902455251)",29.0,52.5,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=941891355)",29.0,43.7,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=961905357)",29.0,43.7,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=971865182)",29.0,35.0,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=981983118)",29.0,35.0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=12456647)",29.0,35.0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=61932304)",29.0,26.200000000000003,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=81835385)",29.0,17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=94494274)",29.0,17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=101886371)",29.0,17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=111872856)",29.0,17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=122049094)",29.0,17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=132242862)",29.0,8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=142423581)",29.0,8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=152245665)",29.0,17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=162286772)",29.0,17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=171900615)",29.0,8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=181833559)",29.0,8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=191940914)",29.0,8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=201874649)",29.0,8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=211954255)",29.0,8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=221885566)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=231902880)",29.0,8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=241868530)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=251933929)",29.0,0.0,0,0
