stamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=890819208)",0.0,0.0,0.0,-0.0170332882553339,-0.00648015970364213,0.5944643020629883,0.8039154410362244
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=930823584)",0.0,0.0,0.0,-0.017020875588059425,-0.006493415217846632,0.5945298671722412,0.8038671612739563
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=960824352)",0.0,0.0,0.0,-0.0170168224722147,-0.006529539357870817,0.5945246815681458,0.8038707971572876
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=990829448)",0.0,0.0,0.0,-0.01693708635866642,-0.006547124125063419,0.5944961905479431,0.8038934469223022
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=830240)",0.0,0.0,0.0,-0.01696121133863926,-0.006540745031088591,0.5945049524307251,0.8038864135742188
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=20829984)",0.0,0.0,0.0,-0.016923533752560616,-0.006541399285197258,0.5945308804512024,0.8038681149482727
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=50837384)",0.0,0.0,0.0,-0.016922306269407272,-0.006552496924996376,0.5945815443992615,0.8038305640220642
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=80841480)",0.0,0.0,0.0,-0.016877323389053345,-0.0065766870975494385,0.5945786237716675,0.8038334250450134
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=100841736)",0.0,0.0,0.0,-0.0168724674731493,-0.006553500425070524,0.594569981098175,0.803840160369873
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=110846320)",0.0,0.0,0.0,-0.016838116571307182,-0.006564151495695114,0.594573438167572,0.8038382530212402
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=140847112)",0.0,0.0,0.0,-0.016835622489452362,-0.006587544921785593,0.594616174697876,0.8038064241409302
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=170853512)",0.0,0.0,0.0,-0.016788065433502197,-0.006598194595426321,0.5946507453918457,0.8037818074226379
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=180852488)",0.0,0.0,0.0,-0.016787242144346237,-0.006584146060049534,0.5946512818336487,0.8037814497947693
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=190856072)",0.0,0.0,0.0,-0.01677820086479187,-0.0065865772776305676,0.5946512222290039,0.8037817478179932
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=200857120)",0.0,0.0,0.0,-0.01672673597931862,-0.006615325342863798,0.59465092420578,0.8037827610969543
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=210859144)",0.0,0.0,0.0,-0.01670399308204651,-0.006632240489125252,0.5946544408798218,0.8037804365158081
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=220857120)",0.0,0.0,0.0,-0.016717733815312386,-0.0066232397221028805,0.5946643352508545,0.803773045539856
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=230861704)",0.0,0.0,0.0,-0.016713272780179977,-0.006613206118345261,0.5946749448776245,0.8037653565406799
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=240863752)",0.0,0.0,0.0,-0.016697943210601807,-0.0065978094935417175,0.5946906208992004,0.8037541508674622
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=250864520)",0.0,0.0,0.0,-0.016677595674991608,-0.006616682279855013,0.5947092175483704,0.8037406206130981
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=260864264)",0.0,0.0,0.0,-0.016646018251776695,-0.006624741014093161,0.5947299003601074,0.8037259578704834
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=270865800)",0.0,0.0,0.0,-0.01669558510184288,-0.006605940405279398,0.5947412252426147,0.8037167191505432
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=280869104)",0.0,0.0,0.0,-0.016703668981790543,-0.006612940225750208,0.594737708568573,0.8037190437316895
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=290868872)",0.0,0.0,0.0,-0.016660526394844055,-0.006606074515730143,0.5947415828704834,0.8037171363830566
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=300870176)",0.0,0.0,0.0,-0.016685517504811287,-0.006618045270442963,0.5947555899620056,0.803706169128418
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=310871200)",0.0,0.0,0.0,-0.016685081645846367,-0.006615332793444395,0.5947524309158325,0.8037086129188538
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=320871688)",0.0,0.0,0.0,-0.01672283001244068,-0.006582608912140131,0.5947273969650269,0.8037266135215759
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=330875016)",0.0,0.0,0.0,-0.016736328601837158,-0.006605540402233601,0.5947065353393555,0.8037415742874146
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=340877064)",0.0,0.0,0.0,-0.016681449487805367,-0.006613691803067923,0.5946921110153198,0.8037533164024353
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=350880648)",0.0,0.0,0.0,-0.016675850376486778,-0.0066352421417832375,0.5946998596191406,0.8037475347518921
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=360882440)",0.0,0.0,0.0,-0.016695063561201096,-0.006624644156545401,0.5947226285934448,0.8037303686141968
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=370883208)",0.0,0.0,0.0,-0.016739627346396446,-0.006579184904694557,0.5947369933128357,0.803719162940979
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=380882184)",0.0,0.0,0.0,-0.01676272414624691,-0.006551159545779228,0.5947551131248474,0.8037053942680359
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=390886024)",0.0,0.0,0.0,-0.01675170101225376,-0.006573651917278767,0.594761312007904,0.8037009835243225
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=400888072)",0.0,0.0,0.0,-0.016738658770918846,-0.0065592615865170956,0.5947576761245728,0.8037040829658508
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=410888840)",0.0,0.0,0.0,-0.016775289550423622,-0.006554370280355215,0.5947438478469849,0.8037135004997253
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=420888072)",0.0,0.0,0.0,-0.016802113503217697,-0.006515158340334892,0.5947155952453613,0.8037341833114624
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=430891656)",0.0,0.0,0.0,-0.01680591143667698,-0.006514749955385923,0.5946915745735168,0.8037518858909607
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=440892448)",0.0,0.0,0.0,-0.016772685572504997,-0.006550679448992014,0.594663679599762,0.8037729263305664
