stamp,time_ref,source
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=550908808)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=560909600)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=570911368)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=580910344)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=590913928)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=600914720)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=610916744)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=620915720)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=630919304)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=650920608)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=690925728)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=700924704)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=710928288)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=720930824)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=740932872)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=760938248)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=790947464)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=810949280)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=840954888)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=850958472)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=900963872)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=920964360)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=950970248)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=960968968)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=980975112)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=975112)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=50984072)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
