stamp,position_x,position_y,position_z,rpy_x,rpy_y,rpy_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_acceleration_x,angular_acceleration_y,angular_acceleration_z,slip_angle_x,slip_angle_y,slip_angle_z,slip_angle_front,slip_angle_rear,trust,status
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=740299608)",-93.08250331134306,-419.52202960054666,0.0,0.0,0.0,-1.112645554758604,13.542816684059723,0.21270546764711915,0.0,-2.2378622855633195,3.3285554688795234,0.0,0.0,0.0,0.27721212905315973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=749963034)",-92.99730648145461,-419.67147451656916,0.0,0.0,0.0,-1.1100268335681927,13.561421793396974,0.22306599924979212,0.0,-2.3170456119450176,3.254420563433484,0.0,0.0,0.0,0.2743575189283702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=759535251)",-92.93384998158362,-419.7934052588802,0.0,0.0,0.0,-1.1073565255504043,13.541709090283788,0.2224644238394507,0.0,-2.503665471511504,3.4355781847342235,0.0,0.0,0.0,0.27003902325418244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=770021090)",-92.87010353119709,-419.9150482150714,0.0,0.0,0.0,-1.10476902075421,13.518855854005547,0.21953705513240798,0.0,-2.8299890771897886,3.0790268528438465,0.0,0.0,0.0,0.26184994334213313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=779797683)",-92.80604960166868,-420.0364949210095,0.0,0.0,0.0,-1.102218005501049,13.497064819258195,0.21807563988932374,0.0,-2.7671200003270737,3.1616676765868896,0.0,0.0,0.0,0.2584245903492984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=790327847)",-92.74196037315068,-420.15733180459296,0.0,0.0,0.0,-1.0997119748402815,13.478234947446355,0.21968667490102864,0.0,-2.3875122798859114,3.412444310058102,0.0,0.0,0.0,0.2535009737477884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=799588879)",-92.65646266348264,-420.30257500547077,0.0,0.0,0.0,-1.0972804248253007,13.492221813044775,0.23786479260072474,0.0,-2.2193170349702824,3.8448252355869585,0.0,0.0,0.0,0.2521002079746796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=809755182)",-92.59159779356084,-420.42308226915014,0.0,0.0,0.0,-1.0947310998584747,13.478789448981379,0.2431410036752847,0.0,-1.8939306519811367,3.844135407404981,0.0,0.0,0.0,0.2579496821263266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=819973202)",-92.52632211972761,-420.54343424156673,0.0,0.0,0.0,-1.0921142875743204,13.46716571462317,0.24626088129144805,0.0,-1.7592170283694955,3.708010921666581,0.0,0.0,0.0,0.26491088585395534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=829626404)",-92.46079810108218,-420.66342360225525,0.0,0.0,0.0,-1.0894248131775144,13.458206135931313,0.24616864175195943,0.0,-1.4684900558136824,3.4840544275505247,0.0,0.0,0.0,0.27202901295591336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=839986715)",-92.39506659033141,-420.7830358545322,0.0,0.0,0.0,-1.0866458361080382,13.449161295165418,0.24482858597477206,0.0,-1.4386973167217108,3.481254203615247,0.0,0.0,0.0,0.2807692582450126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=849643204)",-92.32712813082786,-420.90472866688174,0.0,0.0,0.0,-1.0838019655395694,13.440540069129183,0.23983965279915345,0.0,-1.7203208906284047,3.102724487770083,0.0,0.0,0.0,0.287696550894382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=860578163)",-92.24471787591764,-421.0391048620882,0.0,0.0,0.0,-1.0809793142320605,13.449508727558266,0.24425211161977456,0.0,-1.9208253540041966,3.0100320688945588,0.0,0.0,0.0,0.2900748367868063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=869979692)",-92.17802893778499,-421.15808231888514,0.0,0.0,0.0,-1.0781402346669893,13.434612610423004,0.23776574506868753,0.0,-2.029630313569236,3.0390687951737227,0.0,0.0,0.0,0.2868868662195131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=879955310)",-92.1112093476397,-421.27663144583556,0.0,0.0,0.0,-1.075325928567601,13.418112167931811,0.2321167567118491,0.0,-2.1430845313373044,3.0877890340828222,0.0,0.0,0.0,0.2841969531464779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=890030277)",-92.04413067589886,-421.39492507581093,0.0,0.0,0.0,-1.0725612544990528,13.397901586005307,0.22929209506761072,0.0,-2.524291667630123,3.2941930932457972,0.0,0.0,0.0,0.27930225714365514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=900551834)",-91.97483137320614,-421.51526024414875,0.0,0.0,0.0,-1.069868952736091,13.379528217122783,0.2258051766021001,0.0,-2.6953584658551253,3.0236789545930187,0.0,0.0,0.0,0.27259679160398625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=910854913)",-91.89248434223488,-421.6454903945963,0.0,0.0,0.0,-1.06722407832026,13.376443614057377,0.229164206574863,0.0,-2.507532788370582,2.73725960790366,0.0,0.0,0.0,0.2672972481894109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=919603014)",-91.84167685065984,-421.7316075419518,0.0,0.0,0.0,-1.0644027570220134,13.3208987218427,0.2209367452049353,0.0,-2.2785766025538163,2.8192058341421746,0.0,0.0,0.0,0.2621166803356478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=929911749)",-91.77382242298964,-421.84846833775856,0.0,0.0,0.0,-1.0618287619396254,13.303964688927227,0.21935770562758491,0.0,-2.237597406182529,3.1291973969704507,0.0,0.0,0.0,0.26059158872195404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=941311254)",-91.70579445569342,-421.96495584878073,0.0,0.0,0.0,-1.0592216983114744,13.288372676040565,0.2189142254917038,0.0,-2.081703008361498,3.2839740487460047,0.0,0.0,0.0,0.26377380851540316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=949898398)",-91.61474909105087,-422.1047766685006,0.0,0.0,0.0,-1.0566410934553465,13.30944615102947,0.23223746766082165,0.0,-1.8323290372205812,3.3373861329536254,0.0,0.0,0.0,0.26938099712304814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477889, nanosec=960062629)",-91.54598949706222,-422.2209451630786,0.0,0.0,0.0,-1.0538721618132163,13.298718321762069,0.23602724623178759,0.0,-1.6219601973045317,3.9322998254321035,0.0,0.0,0.0,0.2800011792516615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
