stamp,source_topic,battery_voltage,system_voltage,system_temperature,system_mode,system_ok,laser_ok,scanner_ok,receiver_ok,datapath_ok
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=978834047)",/luminar_right/status,14.358866691589355,0.0,32.8125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=979007799)",/luminar_left/status,13.980204582214355,0.0,34.0625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=979098607)",/luminar_front/status,13.85903263092041,0.0,33.375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=979070441)",/luminar_right/status,14.283134460449219,0.0,32.625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=979214683)",/luminar_left/status,13.85903263092041,0.0,33.9375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=979309873)",/luminar_front/status,13.85903263092041,0.0,33.3125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=979275801)",/luminar_right/status,14.419452667236328,0.0,32.5,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=979430273)",/luminar_left/status,13.949911117553711,0.0,33.9375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=979550022)",/luminar_front/status,13.798446655273438,0.0,33.25,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=979519755)",/luminar_right/status,14.419452667236328,0.0,32.4375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=985391149)",/luminar_left/status,13.965058326721191,0.0,33.875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=985483769)",/luminar_front/status,13.85903263092041,0.0,33.1875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=985452095)",/luminar_right/status,14.343720436096191,0.0,32.25,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=985612363)",/luminar_left/status,13.980204582214355,0.0,33.8125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=985723092)",/luminar_front/status,13.813592910766602,0.0,33.125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=985671919)",/luminar_right/status,14.313426971435547,0.0,32.25,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=985863135)",/luminar_left/status,13.980204582214355,0.0,33.75,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=985965896)",/luminar_front/status,13.919618606567383,0.0,33.125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=985931777)",/luminar_right/status,14.434598922729492,0.0,32.125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=986072057)",/luminar_left/status,13.980204582214355,0.0,33.6875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=986204624)",/luminar_front/status,13.813592910766602,0.0,33.0625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=986168034)",/luminar_right/status,14.404306411743164,0.0,32.0625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=986329768)",/luminar_left/status,13.980204582214355,0.0,33.75,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=986424228)",/luminar_front/status,13.813592910766602,0.0,32.9375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=986391750)",/luminar_right/status,14.449745178222656,0.0,31.9375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=986542832)",/luminar_left/status,13.949911117553711,0.0,33.6875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=986645586)",/luminar_front/status,13.889325141906738,0.0,32.9375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=986611584)",/luminar_right/status,14.449745178222656,0.0,31.875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=986801319)",/luminar_left/status,13.980204582214355,0.0,33.5625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=986934592)",/luminar_front/status,13.843886375427246,0.0,32.875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=986903526)",/luminar_right/status,14.4800386428833,0.0,31.8125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477650, nanosec=987254086)",/luminar_left/status,14.010497093200684,0.0,33.5625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477650, nanosec=987388940)",/luminar_front/status,13.813592910766602,0.0,32.8125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477650, nanosec=987316639)",/luminar_right/status,14.358866691589355,0.0,31.75,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477652, nanosec=987518390)",/luminar_left/status,13.934764862060547,0.0,33.5,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477652, nanosec=987646268)",/luminar_front/status,13.813592910766602,0.0,32.75,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477652, nanosec=987620617)",/luminar_right/status,14.298280715942383,0.0,31.625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477654, nanosec=987821888)",/luminar_left/status,13.889325141906738,0.0,33.4375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477654, nanosec=987942119)",/luminar_front/status,13.874178886413574,0.0,32.6875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477654, nanosec=987910624)",/luminar_right/status,14.495184898376465,0.0,31.5625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477656, nanosec=988062515)",/luminar_left/status,13.99535083770752,0.0,33.375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477656, nanosec=988195182)",/luminar_front/status,13.783300399780273,0.0,32.5625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477656, nanosec=988159105)",/luminar_right/status,14.4800386428833,0.0,31.375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477658, nanosec=988322144)",/luminar_left/status,13.980204582214355,0.0,33.375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477658, nanosec=988438570)",/luminar_front/status,13.798446655273438,0.0,32.5,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477658, nanosec=988399538)",/luminar_right/status,14.389159202575684,0.0,31.3125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477660, nanosec=988583515)",/luminar_left/status,13.980204582214355,0.0,33.3125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477660, nanosec=988694852)",/luminar_front/status,13.85903263092041,0.0,32.4375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477660, nanosec=988653619)",/luminar_right/status,14.389159202575684,0.0,31.1875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477662, nanosec=988826074)",/luminar_left/status,13.980204582214355,0.0,33.25,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477662, nanosec=988912166)",/luminar_front/status,13.753006935119629,0.0,32.3125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477662, nanosec=988885779)",/luminar_right/status,14.131669044494629,0.0,31.125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477664, nanosec=989040978)",/luminar_left/status,14.010497093200684,0.0,33.125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477664, nanosec=989154308)",/luminar_front/status,13.798446655273438,0.0,32.3125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477664, nanosec=989112284)",/luminar_right/status,14.389159202575684,0.0,31.0625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477666, nanosec=989284426)",/luminar_left/status,14.010497093200684,0.0,33.125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477666, nanosec=989397713)",/luminar_front/status,13.843886375427246,0.0,32.25,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477666, nanosec=989345682)",/luminar_right/status,14.419452667236328,0.0,30.9375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477668, nanosec=989519358)",/luminar_left/status,13.934764862060547,0.0,33.0625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477668, nanosec=989608794)",/luminar_front/status,13.828739166259766,0.0,32.1875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477668, nanosec=989573989)",/luminar_right/status,14.449745178222656,0.0,30.875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477670, nanosec=989731432)",/luminar_left/status,13.980204582214355,0.0,33.0,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477670, nanosec=989816675)",/luminar_front/status,13.798446655273438,0.0,32.0625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477670, nanosec=989788172)",/luminar_right/status,14.343720436096191,0.0,30.75,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477672, nanosec=989960333)",/luminar_left/status,13.919618606567383,0.0,32.875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477672, nanosec=990048844)",/luminar_front/status,13.768153190612793,0.0,32.0,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477672, nanosec=990019226)",/luminar_right/status,14.37401294708252,0.0,30.6875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477674, nanosec=990220420)",/luminar_left/status,13.934764862060547,0.0,32.8125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477674, nanosec=990329231)",/luminar_front/status,13.828739166259766,0.0,31.9375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477674, nanosec=990291263)",/luminar_right/status,14.298280715942383,0.0,30.625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477676, nanosec=990459129)",/luminar_left/status,13.949911117553711,0.0,32.8125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477676, nanosec=990573350)",/luminar_front/status,13.889325141906738,0.0,31.875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477676, nanosec=990534443)",/luminar_right/status,14.328573226928711,0.0,30.5,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477678, nanosec=990710529)",/luminar_left/status,13.904472351074219,0.0,32.75,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477678, nanosec=990797500)",/luminar_front/status,13.85903263092041,0.0,31.8125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477678, nanosec=990767799)",/luminar_right/status,14.389159202575684,0.0,30.5,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=994081707)",/luminar_left/status,13.904472351074219,0.0,32.6875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=994207427)",/luminar_front/status,13.813592910766602,0.0,31.6875,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=994166084)",/luminar_right/status,14.313426971435547,0.0,30.4375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=994340853)",/luminar_left/status,13.919618606567383,0.0,32.625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=994451857)",/luminar_front/status,13.843886375427246,0.0,31.625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477682, nanosec=994412182)",/luminar_right/status,14.389159202575684,0.0,30.375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477684, nanosec=994583070)",/luminar_left/status,13.904472351074219,0.0,32.625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477684, nanosec=994675846)",/luminar_front/status,13.813592910766602,0.0,31.5625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477684, nanosec=994645106)",/luminar_right/status,14.37401294708252,0.0,30.25,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477686, nanosec=994798119)",/luminar_left/status,13.889325141906738,0.0,32.625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477686, nanosec=994891708)",/luminar_front/status,13.525810241699219,0.0,31.4375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477686, nanosec=994860435)",/luminar_right/status,14.328573226928711,0.0,30.1875,2,True,True,True,True,True
