stamp,engine_oil_pressure,fuel_pressure,coolant_temperature,transmission_temperature,transmission_pressure
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=612026242)",250.70000000000002,511.1,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=621777301)",250.70000000000002,507.8,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=631800451)",246.8,527.1,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=671808729)",246.8,512.6,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=681789530)",246.8,535.0,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=691801504)",246.8,518.9,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=711824364)",246.8,508.1,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=721882507)",246.8,527.5,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=741897976)",249.4,509.6,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=771791515)",249.4,534.2,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=802009312)",249.4,510.0,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=811952490)",249.4,530.9,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=851893376)",256.0,524.9,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=881904077)",256.0,507.0,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=902385519)",256.0,535.3000000000001,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=941820709)",264.6,534.6,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=951807919)",264.6,518.9,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=961836242)",264.6,507.8,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=981939190)",264.6,530.1,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=12387310)",264.6,507.8,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=61863773)",272.40000000000003,524.9,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=81792733)",272.40000000000003,508.90000000000003,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=94449710)",272.40000000000003,505.90000000000003,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=101818757)",272.40000000000003,521.6,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=111804046)",272.40000000000003,532.7,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=121981162)",272.40000000000003,510.0,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=132179785)",279.90000000000003,504.8,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=142378977)",279.90000000000003,522.3000000000001,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=152178048)",279.90000000000003,535.3000000000001,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=162243936)",279.90000000000003,511.1,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=171846629)",279.90000000000003,504.8,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=181790951)",279.90000000000003,519.7,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=191868097)",279.90000000000003,535.7,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=201814109)",279.90000000000003,511.1,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=211886960)",279.90000000000003,504.8,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=221817815)",279.90000000000003,518.6,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=231834163)",286.6,535.3000000000001,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=241800671)",286.6,511.1,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=251861016)",286.6,504.8,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=261832410)",286.6,518.9,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=272395461)",286.6,537.2,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=281777136)",286.6,512.2,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=291808911)",286.6,505.20000000000005,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=302551889)",286.6,521.9,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=311823860)",286.6,536.8000000000001,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=321810148)",286.6,511.90000000000003,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=331839465)",293.5,504.40000000000003,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=341806359)",293.5,518.6,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=351778334)",293.5,536.5,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=362594203)",293.5,511.1,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=371840664)",293.5,504.8,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=381857286)",293.5,520.8000000000001,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=391819047)",293.5,537.2,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=401831666)",293.5,511.5,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=412402347)",293.5,505.5,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=422731262)",293.5,521.6,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=431868942)",298.8,536.1,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=441951149)",298.8,510.8,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=451863886)",298.8,505.5,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=461853939)",298.8,527.1,37.0,0.0,3276.0
