stamp,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=900818184)",-0.00343016954138875,-0.0032404474914073944,-5.6037701142486185e-05,-0.004034625831991434,1.1575641110539436e-05,-0.009753753431141376
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=930823584)",-0.005778092425316572,-0.005015173461288214,-0.0015255793696269393,0.003331888234242797,0.001543753081932664,-0.0061117312870919704
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=970826120)",-0.0023429077118635178,-0.0026444047689437866,-0.002507089637219906,0.0005847302381880581,0.00030218949541449547,0.001604235963895917
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=830240)",-0.004002964589744806,-0.0044609117321670055,-0.0008988316985778511,0.0008713557617738843,0.001007690909318626,-0.001824457198381424
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=20829984)",-0.007917684502899647,-0.0024960648734122515,-0.0024831723421812057,0.0046955314464867115,-0.005382292438298464,-0.002367829903960228
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=30833824)",-0.009113723412156105,-0.006065576337277889,-0.000662159058265388,0.007893494330346584,-0.0025971457362174988,-0.0019218433881178498
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=60836360)",-0.007322354707866907,-0.004423743579536676,-0.0007741418667137623,0.014697391539812088,0.004157268442213535,0.0005194998811930418
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=90842504)",-0.002820379566401243,-0.0027075777761638165,-0.00043488419032655656,0.0032132863998413086,0.0015350261237472296,0.0019110324792563915
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=100841736)",-0.0026719197630882263,-0.0053490521386265755,-0.0032705864869058132,0.0009827498579397798,0.009164795279502869,0.00024793390184640884
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=110846320)",-0.002320702187716961,-0.004702280275523663,-0.0037497009616345167,-0.0031936941668391228,0.00863838940858841,-0.001969308592379093
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=150850696)",-0.007006094325333834,-0.00539976404979825,-0.002823839196935296,0.014912255108356476,-0.007147223223000765,-0.0023713004775345325
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=170853512)",-0.0035370185505598783,-0.005799725651741028,-0.00022772149532102048,-0.004967604298144579,0.00044656265527009964,-0.004204367287456989
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=180852488)",-0.0024958071298897266,-0.004826590418815613,-0.0004407924134284258,-0.003670293837785721,0.00815662182867527,-0.0008646692149341106
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=190856072)",-0.0022344563622027636,-0.006589952856302261,-0.0015572888078168035,-0.003279115306213498,0.010416789911687374,-9.294948540627956e-05
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=200857120)",-0.004175741225481033,-0.006057546008378267,-0.002625717781484127,0.004981763660907745,0.001864815130829811,0.0005799207137897611
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=210859144)",-0.0063511524349451065,-0.007525981403887272,1.557151335873641e-05,0.007701381109654903,0.0026531824842095375,0.0033448971807956696
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=220857120)",-0.0032181167043745518,-0.00720076123252511,-0.000560798856895417,8.207967039197683e-05,-0.0050640101544559,-0.0006353512872010469
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=230861704)",-0.002138972980901599,-0.006432483904063702,-0.0017358988989144564,0.00798704382032156,-0.00351000321097672,-0.003931977786123753
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=240863752)",-0.0038459093775600195,-0.008493674919009209,-0.002901429310441017,0.005391387268900871,0.0084333885461092,-0.006486436352133751
