stamp,f_brk_pos_cmd,f_brk_pos_fbk,r_brk_pos_cmd,r_brk_pos_fbk
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=691743665)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=701768330)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=711761824)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=721756770)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=751746719)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=771747318)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=801950302)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=811885735)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=842392660)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=881859029)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=912366832)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=941758291)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=951773172)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=971744694)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=981903162)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=1807368)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=71756653)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=81750829)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=94415526)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=101758420)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=111746965)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=121926420)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=132129786)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=142342851)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=152116909)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=162198811)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=171792864)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=181749835)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=191807976)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=201754480)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=211820856)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=221756474)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=231774228)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=241745497)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=251804542)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=261770380)",7500.0,2400.0,7500.0,2400.0
