stamp,rl_tire_temp_04,rl_tire_temp_03,rl_tire_temp_02,rl_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=746793673)",52.80000000000001,47.099999999999994,38.900000000000006,34.30000000000001
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=746793673)",52.80000000000001,47.099999999999994,38.900000000000006,34.30000000000001
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=746793673)",52.80000000000001,47.099999999999994,38.900000000000006,34.30000000000001
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=746793673)",52.80000000000001,47.099999999999994,38.900000000000006,34.30000000000001
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=746868129)",52.900000000000006,46.900000000000006,40.0,35.599999999999994
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=746868129)",52.900000000000006,46.900000000000006,40.0,35.599999999999994
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=746868129)",52.900000000000006,46.900000000000006,40.0,35.599999999999994
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=746868129)",52.900000000000006,46.900000000000006,40.0,35.599999999999994
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=746868129)",52.900000000000006,46.900000000000006,40.0,35.599999999999994
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=746908380)",53.900000000000006,46.900000000000006,40.70000000000002,36.400000000000006
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=746908380)",53.900000000000006,46.900000000000006,40.70000000000002,36.400000000000006
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=746908380)",53.900000000000006,46.900000000000006,40.70000000000002,36.400000000000006
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=746908380)",53.900000000000006,46.900000000000006,40.70000000000002,36.400000000000006
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=746908380)",53.900000000000006,46.900000000000006,40.70000000000002,36.400000000000006
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=747228419)",54.70000000000002,47.099999999999994,40.20000000000002,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=747228419)",54.70000000000002,47.099999999999994,40.20000000000002,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=747228419)",54.70000000000002,47.099999999999994,40.20000000000002,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=747228419)",54.70000000000002,47.099999999999994,40.20000000000002,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=747228419)",54.70000000000002,47.099999999999994,40.20000000000002,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746954021)",54.70000000000002,47.099999999999994,40.20000000000002,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746954021)",54.70000000000002,47.099999999999994,40.20000000000002,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746954021)",54.70000000000002,47.099999999999994,40.20000000000002,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746954021)",54.70000000000002,47.099999999999994,40.20000000000002,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746954021)",54.70000000000002,47.099999999999994,40.20000000000002,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746954021)",54.70000000000002,47.099999999999994,40.20000000000002,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=749319164)",54.70000000000002,47.099999999999994,40.20000000000002,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=749319164)",54.70000000000002,47.099999999999994,40.20000000000002,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=749319164)",54.70000000000002,47.099999999999994,40.20000000000002,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=749319164)",54.70000000000002,47.099999999999994,40.20000000000002,35.30000000000001
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746890154)",53.80000000000001,47.80000000000001,41.400000000000006,37.400000000000006
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746890154)",53.80000000000001,47.80000000000001,41.400000000000006,37.400000000000006
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746890154)",53.80000000000001,47.80000000000001,41.400000000000006,37.400000000000006
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746890154)",53.80000000000001,47.80000000000001,41.400000000000006,37.400000000000006
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746890154)",53.80000000000001,47.80000000000001,41.400000000000006,37.400000000000006
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746890154)",53.80000000000001,47.80000000000001,41.400000000000006,37.400000000000006
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=750502427)",53.30000000000001,46.099999999999994,40.599999999999994,35.80000000000001
