stamp,frame_id,child_frame_id,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,rot_w
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=420796035)",world,ego_car,122.99083938408492,142.03205864042826,0.0,-0.0,0.0,0.9294971945787072,-0.3688291816956909
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=429950968)",world,ego_car,122.99061786543275,142.03183166138172,0.0,-0.0,0.0,0.9294996353097154,-0.36882303067881544
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=439864816)",world,ego_car,122.99057968144491,142.0318944581387,0.0,-0.0,0.0,0.9295025878794841,-0.3688155895909796
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=450252844)",world,ego_car,122.99032436534662,142.0316376236848,0.0,-0.0,0.0,0.9295132001821345,-0.3687888429537521
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=460629410)",world,ego_car,122.99029283347575,142.03162427951796,0.0,-0.0,0.0,0.9295205244999916,-0.36877038185469957
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=470179515)",world,ego_car,122.99026170286344,142.03161114924174,0.0,-0.0,0.0,0.9295247389996049,-0.3687597586338792
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=479858940)",world,ego_car,122.99023097151948,142.03159823082171,0.0,-0.0,0.0,0.9295270867654795,-0.36875384061631267
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=489904324)",world,ego_car,122.98995384237982,142.03140989337132,0.0,-0.0,0.0,0.9295264888600544,-0.36875534776800123
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=499776314)",world,ego_car,122.98992108351776,142.0313957947832,0.0,-0.0,0.0,0.9295215008753118,-0.36876792079912224
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=509955685)",world,ego_car,122.98955492469298,142.03135751448607,0.0,-0.0,0.0,0.9295223802382,-0.3687657042572034
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=520212797)",world,ego_car,122.98951898718974,142.03134407310495,0.0,-0.0,0.0,0.9295195064015551,-0.368772948057486
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=530101080)",world,ego_car,122.9894834969749,142.031330853066,0.0,-0.0,0.0,0.9295193754143222,-0.3687732782203292
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=539789057)",world,ego_car,122.98943280459198,142.03139992467274,0.0,-0.0,0.0,0.9295226866939374,-0.3687649317943399
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=549869192)",world,ego_car,122.9894216427634,142.03111930887317,0.0,-0.0,0.0,0.9295321996607451,-0.3687409521518553
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=560232878)",world,ego_car,122.98938719451336,142.0311043585169,0.0,-0.0,0.0,0.9295387110454445,-0.3687245376537526
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=570201477)",world,ego_car,122.98935318006639,142.03108964376145,0.0,-0.0,0.0,0.929544389521969,-0.3687102221368834
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=580216190)",world,ego_car,122.98931959754859,142.03107516239373,0.0,-0.0,0.0,0.9295492701105031,-0.3686979175924796
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=589836871)",world,ego_car,122.9892594727134,142.03081060699355,0.0,-0.0,0.0,0.9295540382053481,-0.3686858961990954
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=599964511)",world,ego_car,122.98922629125936,142.03079361140175,0.0,-0.0,0.0,0.9295516091785365,-0.368692020355192
