stamp,track_cond_ack,veh_sig_ack,ct_state,ct_state_rolling_counter,veh_num
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,28,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,29,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,30,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,31,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,32,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,33,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,34,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,35,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,36,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,37,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,38,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,39,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,40,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,41,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,42,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,43,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,44,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,45,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,46,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,47,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,48,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,49,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,50,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,51,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,52,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,53,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,54,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,55,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,56,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,57,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,58,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,59,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,60,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,61,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,62,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,63,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,64,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,65,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,66,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,67,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,68,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,69,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,70,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,71,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,72,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,73,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,74,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,75,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,76,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,77,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,78,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,79,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,80,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,81,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,82,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,83,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,84,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,85,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,86,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,87,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,88,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,89,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,90,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,91,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,92,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,93,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,94,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,95,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,96,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,97,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,98,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,99,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,100,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,101,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,102,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,103,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,104,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,105,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,106,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,107,10
